style_name,keywords,description,enabled,scope
"极简瑞士网格卡","效率,方法论,职场技能,时间管理,思维,清单,自律,笔记,学习博主,干货","净白偏暖底色大面积留白，黑色粗无衬线大标题左对齐，内容按严格网格排布，红或克莱因蓝仅一处色块点睛，信息层级全靠字号字重与缩进区分，细黑分隔线，可配单色几何图形（圆/三角/方块）；文字总量极克制（标题+不超过4条短句），标准黑体不变形，克制到极致的现代主义版式","true","public"
"复古港风海报卡","美食探店,老字号,街拍,粤语,茶餐厅,市井,怀旧,城市记忆,夜市","饱和暖调撞色（砖红/芥黄/墨绿/奶白），大字报式粗宋或美术黑体标题可做轻微软立体（笔画清晰不变形），配怀旧街景/招牌/市井场景实拍质感图（场景按该页文案主题确定），粗细双线框，色块几何分割版面，可点缀美术字印章与老式价目牌元素；文字总量克制，市井烟火气与海报感并存","true","public"
"夜色霓虹城市卡","夜生活,清吧,酒吧,演出,城市探索,露营夜话,星空,灯光,夜市,氛围感","深藏青或炭黑夜色底（文字区必须用浅色卡片承托保证可读），霓虹灯管质感标题（粉紫/青蓝渐变发光但文字笔画清晰不变形），夜景/霓虹/暗调场景实拍质感图（按该页文案主题确定），光斑散景点缀，细发光线条分隔；文字总量克制，夜色氛围但版面干净","true","public"
"医疗健康白净卡","健康,体检,就医,用药,疾病,预防,营养,睡眠,心理,康复,医学知识,医生","纯度极低的雾白配淡青或医疗蓝点缀，圆角卡片分区如报告折页般清爽，单色细线图标点缀，标题用干净微圆润黑体，数据用简洁图表化呈现（细横条/圆环），留白充足；图示元素按该页文案主题确定，文字总量克制、标准字体不变形，专业可信不冰冷","true","public"
"户外装备实拍卡","露营,徒步,骑行,钓鱼,装备,球类,健身,运动鞋,运动,户外,自驾装备","自然粗粝质感：晨雾山林/溪流营地/旷野实拍大图（场景按该页文案主题确定），军绿/大地色/落日橙配色，标题用硬朗粗黑体可做模板切割感（笔画清晰），主体用平铺俯拍构图带使用痕迹的真实质感，细节标注用细线加小标签（每页不超过3条短词）；文字总量克制，像专业户外杂志内页","true","public"
"素描铅笔手账卡","读书,笔记,自我提升,手账,绘画,乐器,兴趣,副业,个人成长,经验分享","米白纸面带轻微铅笔灰调，手绘铅笔线稿插画（排线阴影质感，元素按该页文案主题绘制），标题用清秀手写体感黑体加下划波浪线（笔画清晰），纸胶带/回形针/咖啡渍做手账装饰，要点像笔记摘抄配铅笔圈划重点；文字总量克制，整体像认真记录的MUJI风手账本","true","public"
"财经商务深蓝卡","理财,基金,存钱,房产,贷款,保险,行业分析,创业,副业收入,经济","深海军蓝或藏青主底配浅色卡片承托文字，金色或香槟金细线与关键数字强调，标题用端正粗黑体白字（笔画清晰不糊），数据用细线柱状/折线图表呈现（图表只画骨架不堆字），配城市天际线或商务场景暗调实拍图；文字总量克制，版式如投行研报，克制稳重有信任感","true","public"
"雾蓝知性卡","知识,科普,读书,观点,深度,职场,心理,法律,咨询","雾蓝灰与米白双色分区底，竖版书页式排版：顶部细线框内衬线宋体大标题，正文要点用编号短句配细线分隔，配图用低饱和冷调摄影或线描插画（主体按该页文案主题确定），黛蓝印章式小方块点缀页脚；安静知性的杂志专栏感，文字总量克制、标准字体不变形","true","public"
"薄荷清新卡","清新,生活方式,轻科普,绿植,居家,好物,饮品,健康","薄荷绿与净白双色清爽底，圆角卡片式信息分区，细线描边小图标与叶片散点装饰，配图用高明度自然光实拍或扁平插画（主体按该页文案主题确定），标题用圆润粗黑体墨绿字，关键信息用薄荷绿底白字胶囊强调；留白充足、文字总量克制、标准字体不变形，像新消费品牌的清新产品折页","true","public"
"孟菲斯几何撞色卡","年轻,潮流,活动,创意,职场,学习,好物,新品","净白或浅灰底上大胆几何撞色（明黄/钴蓝/珊瑚红/黑），孟菲斯风格散点、波浪线、三角圆点装饰，主体用扁平插画或3D小元素呈现（按该页文案主题确定），超大粗黑标题可斜切排布，色块卡片承载要点；活泼有张力但每页颜色不超过四种，文字总量克制、笔画清晰不变形","true","public"
"时尚街拍杂志卡","穿搭,时尚,美妆,生活方式,探店,好物,街拍","黑白灰为主的高级灰调，街拍/棚拍写实大图占半版以上（主体按该页文案主题确定），超大衬线或极粗黑体标题可跨图排版，细黑线与大量留白分割信息区，点缀一处亮色（正红或明黄）小标签，版式如时尚杂志内页；文字总量克制（标题+3条以内短句）、字体标准不变形","true","public"
"浅青3D场景卡","科技,专业,职业,规划,城市,智能,工程,科普","浅青白高明度底，3D微缩场景插画（城市/园区/设备按该页文案主题建模，哑光柔和材质、青绿+白+浅金配色），要点用圆形描边图标加圆角胶囊条竖排居中，细光线连接点缀，大标题用青墨绿粗黑体居上；文字总量克制、标准字体不变形，通透的未来感科普折页","true","public"
"暗夜对决对比卡","对比,对决,VS,电竞,游戏,性能,测评,旗舰,手机,数码","上下分割构图：上半浅灰白标题区（极粗黑体大标题，红黑或红蓝撞色，标题下细线加小对勾装饰），下半深色电路板纹理地面配红蓝渐变光带；对比双方以写实渲染对峙置于发光能量舱或玻璃罩内（左暖红右冷蓝），各自下方配一句短结论；对比主体按该页文案主题确定，文字总量克制、笔画清晰不变形，电竞对决张力感","true","public"
